BIB;A;B;C;D;E
39;19.0;18.5;18.5;18.5;18.0
38;19.0;19.0;19.0;19.0;19.0
19;18.5;18.5;18.5;18.0;18.5
33;18.5;18.5;18.5;19.0;19.0
36;19.5;19.0;19.0;19.5;19.5
27;18.5;18.5;18.5;18.0;18.0
22;18.5;18.5;19.0;19.0;19.0
40;18.5;18.5;18.5;19.0;19.0
35;18.5;18.5;18.0;18.5;19.0
20;18.5;18.5;18.5;18.5;19.0
24;18.5;18.5;18.5;18.0;18.5
7;16.5;17.0;16.5;17.0;17.0
28;18.5;18.5;18.5;18.5;18.5
1;18.5;18.0;18.5;18.5;18.0
11;18.5;18.5;18.5;18.5;19.0
37;18.0;18.0;18.5;18.0;18.0
26;18.0;18.0;18.0;18.0;18.5
3;18.0;18.0;18.0;17.5;17.5
34;17.5;18.0;18.0;18.0;17.5
15;18.0;18.0;18.5;18.0;18.0
25;17.0;18.0;17.5;17.5;18.0
10;18.5;18.0;18.0;18.5;18.0
21;18.0;18.0;18.0;18.0;17.5
17;18.0;18.0;18.0;18.5;18.0
30;17.5;17.5;18.0;17.5;17.5
18;18.0;18.0;18.0;18.0;18.0
32;18.0;18.0;18.5;18.0;18.0
13;18.0;17.0;17.5;18.0;17.0
9;16.5;16.5;16.5;16.5;16.0
4;17.0;18.0;18.0;18.0;17.5
14;17.5;17.5;18.0;17.5;18.0
23;17.5;17.5;17.5;17.5;17.5
2;18.0;18.0;18.5;18.0;17.5
29;17.5;17.5;18.0;18.0;17.5
16;17.0;17.0;17.0;17.0;17.0
12;17.0;17.0;17.5;17.0;17.0
5;17.0;17.0;16.5;17.0;17.0
6;17.0;17.0;17.0;17.0;17.0
8;17.0;17.0;17.0;16.5;16.5
31;16.0;17.0;16.5;16.5;16.0
