BIB;SPEED [km/h];DISTANCE;GATE;POINTS;[m/s];POINTS
39;102.2;228.0;11;9.2;0.01;-0.1
38;103.9;232.0;12;;-0.07;1.2
19;103.9;234.5;12;;0.03;-0.4
33;104.1;226.0;12;;-0.32;5.6
36;103.8;230.0;12;;0.18;-2.6
27;104.2;231.5;12;;0.14;-2.0
22;103.4;228.0;12;;0.16;-2.3
40;103.9;222.0;12;;-0.16;2.8
35;104.2;223.5;12;;-0.04;0.7
20;103.7;224.5;12;;0.05;-0.7
24;103.9;227.0;12;;0.40;-5.8
7;103.6;229.5;12;;0.35;-5.0
28;103.5;223.0;12;;0.23;-3.3
1;103.8;221.5;12;;0.07;-1.0
11;103.7;228.0;12;;0.68;-9.8
37;104.1;218.0;12;;-0.09;1.6
26;103.8;220.0;12;;0.10;-1.4
3;104.1;219.0;12;;0.04;-0.6
34;104.0;213.0;12;;-0.34;5.9
15;103.1;220.0;12;;0.22;-3.2
25;103.5;222.0;12;;0.43;-6.2
10;103.7;223.0;12;;0.68;-9.8
21;104.0;219.0;12;;0.38;-5.5
17;105.3;220.0;12;;0.53;-7.6
30;103.4;213.0;12;;0.04;-0.6
18;103.7;215.0;12;;0.36;-5.2
32;104.1;208.5;12;;-0.12;2.1
13;103.6;214.5;12;;0.30;-4.3
9;103.6;219.0;12;;0.49;-7.1
4;103.5;209.0;12;;0.02;-0.3
14;104.0;208.5;12;;-0.04;0.7
23;104.0;208.5;12;;-0.01;0.2
2;103.7;210.0;12;;0.28;-4.0
29;103.9;209.0;12;;0.21;-3.0
16;103.6;214.0;12;;0.49;-7.1
12;103.9;214.0;12;;0.62;-8.9
5;104.1;202.0;12;;0.08;-1.2
6;103.9;197.5;12;;-0.03;0.5
8;103.5;202.0;12;;0.31;-4.5
31;103.5;187.0;12;;0.20;-2.9
