BIB;SPEED [km/h];DISTANCE;GATE;POINTS;[m/s];POINTS
38;104.7;239.0;13;27.1;-0.04;0.7
33;104.7;237.0;13;27.1;-0.20;3.5
36;104.2;230.5;13;27.1;-0.34;5.9
39;103.6;224.0;13;27.1;-0.30;5.2
35;104.7;237.0;13;27.1;0.04;-0.6
40;105.1;228.5;13;27.1;-0.42;7.3
19;104.8;220.0;13;27.1;-0.05;0.9
27;104.7;238.5;13;27.1;0.22;-3.2
7;104.7;234.5;13;27.1;0.26;-3.7
24;104.8;231.0;13;27.1;0.01;-0.1
22;104.2;222.0;13;27.1;-0.03;0.5
34;104.7;232.5;13;27.1;0.02;-0.3
28;104.6;228.5;13;27.1;0.16;-2.3
20;104.2;222.5;13;27.1;0.22;-3.2
11;104.5;226.0;13;27.1;0.18;-2.6
3;105.2;231.0;13;27.1;0.46;-6.6
26;105.0;230.5;13;27.1;0.20;-2.9
37;104.9;226.0;13;27.1;0.09;-1.3
17;106.0;241.5;14;18.1;0.60;-8.6
10;103.9;224.0;13;27.1;0.12;-1.7
30;104.9;232.0;14;18.1;-0.08;1.4
1;104.8;210.0;13;27.1;-0.22;3.8
15;104.1;214.0;13;27.1;-0.10;1.7
4;106.4;233.0;16;;-0.98;17.1
21;104.8;216.0;13;27.1;-0.10;1.7
32;106.9;228.5;16;;-0.67;11.7
18;106.4;227.5;16;;-0.59;10.3
9;106.3;225.0;16;;-0.82;14.3
13;106.2;219.0;16;;-0.47;8.2
25;DSQ
